REGION,TECHNOLOGY,VALUE
REGION1,FRCOCHPH3,31.536
REGION1,FRCOCSPN2,31.536
REGION1,FRCOSTPH1,31.536
REGION1,FRCOSTPH3,31.536
REGION1,FREL00TD0,1
REGION1,FRELIEPH1,1
REGION1,FRELITPH1,31.536
REGION1,FRELLUPH1,1
REGION1,FRELUKPH1,31.536
REGION1,FRGO00X00,1
REGION1,FRGOCVPH2,31.536
REGION1,FRHF00I00,1
REGION1,FRHFCCPH2,31.536
REGION1,FRHFCHPH3,31.536
REGION1,FRHFGCPH3,31.536
REGION1,FRHFGCPN3,31.536
REGION1,FRHFHPFH1,31.536
REGION1,FRHFHPPH2,31.536
REGION1,FRHFSTPH2,31.536
REGION1,FRHFSTPH3,31.536
REGION1,FRHYDMPH0,31.536
REGION1,FRHYDMPH1,31.536
REGION1,FRHYDMPH2,31.536
REGION1,FRHYDMPH3,31.536
REGION1,FRHYDSPH2,31.536
REGION1,FRHYDSPH3,31.536
REGION1,FRNG00I00,1
REGION1,FRNG00X00,1
REGION1,FRNGCCPH2,31.536
REGION1,FRNGCHPH3,31.536
REGION1,FRNGCHPN3,31.536
REGION1,FRNGCSPN2,31.536
REGION1,FRNGFCFH1,31.536
REGION1,FRNGGCPH2,31.536
REGION1,FRNGGCPN2,31.536
REGION1,FRNGHPFH1,31.536
REGION1,FRNGHPPH2,31.536
REGION1,FRNGSTPH2,31.536
REGION1,FRNUG2PH3,31.536
REGION1,FRNUG3PN3,31.536
REGION1,FROCWVPH1,31.536
REGION1,FROI00I00,1
REGION1,FROI00X00,1
REGION1,FROIRFPH0,1
REGION1,FRSODIFH1,31.536
REGION1,FRSOUTPH2,31.536
REGION1,FRUR00I00,1
REGION1,FRWIOFPH3,31.536
REGION1,FRWIOFPN2,31.536
REGION1,FRWIOFPN3,31.536
REGION1,FRWIONPH3,31.536
REGION1,FRWIONPN3,31.536
REGION1,FRWS00X00,1
REGION1,FRWSCHPH2,31.536
REGION1,FRWSSTPH1,31.536
REGION1,GRBF00I00,1
REGION1,GRBF00X00,1
REGION1,GRBFHPFH1,31.536
REGION1,GRBM00I00,1
REGION1,GRBM00X00,1
REGION1,GRBMCCPH1,31.536
REGION1,GRBMCHPH3,31.536
REGION1,GRBMCSPN2,31.536
REGION1,GRBMSTPH3,31.536
REGION1,GRCO00I00,1
REGION1,GRCO00X00,1
REGION1,GRCOCHPH3,31.536
REGION1,GRCOCSPN2,31.536
REGION1,GRCOSTPH1,31.536
REGION1,GRCOSTPH3,31.536
REGION1,GREL00TD0,1
REGION1,GRELITPH1,31.536
REGION1,GRGO00X00,1
REGION1,GRGOCVPH2,31.536
REGION1,GRHF00I00,1
REGION1,GRHFCCPH2,31.536
REGION1,GRHFCHPH3,31.536
REGION1,GRHFGCPH3,31.536
REGION1,GRHFGCPN3,31.536
REGION1,GRHFHPFH1,31.536
REGION1,GRHFHPPH2,31.536
REGION1,GRHFSTPH2,31.536
REGION1,GRHFSTPH3,31.536
REGION1,GRHYDMPH0,31.536
REGION1,GRHYDMPH1,31.536
REGION1,GRHYDMPH2,31.536
REGION1,GRHYDMPH3,31.536
REGION1,GRHYDSPH2,31.536
REGION1,GRHYDSPH3,31.536
REGION1,GRNG00I00,1
REGION1,GRNGCCPH2,31.536
REGION1,GRNGCHPH3,31.536
REGION1,GRNGCHPN3,31.536
REGION1,GRNGCSPN2,31.536
REGION1,GRNGFCFH1,31.536
REGION1,GRNGGCPH2,31.536
REGION1,GRNGGCPN2,31.536
REGION1,GRNGHPFH1,31.536
REGION1,GRNGHPPH2,31.536
REGION1,GRNGSTPH2,31.536
REGION1,GROCWVPH1,31.536
REGION1,GROI00I00,1
REGION1,GROI00X00,1
REGION1,GROIRFPH0,1
REGION1,GRSODIFH1,31.536
REGION1,GRSOUTPH2,31.536
REGION1,GRWIOFPN3,31.536
REGION1,GRWIONPH3,31.536
REGION1,GRWS00X00,1
REGION1,GRWSCHPH2,31.536
REGION1,GRWSSTPH1,31.536
REGION1,HRBF00I00,1
REGION1,HRBF00X00,1
REGION1,HRBFHPFH1,31.536
REGION1,HRBM00I00,1
REGION1,HRBM00X00,1
REGION1,HRBMCCPH1,31.536
REGION1,HRBMCHPH3,31.536
REGION1,HRBMCSPN2,31.536
REGION1,HRBMSTPH3,31.536
REGION1,HRCO00I00,1
REGION1,HRCOCHPH3,31.536
REGION1,HRCOCSPN2,31.536
REGION1,HRCOSTPH1,31.536
REGION1,HRCOSTPH3,31.536
REGION1,HREL00TD0,1
REGION1,HRELHUPH1,31.536
REGION1,HRELSIPH1,31.536
REGION1,HRGO00X00,1
REGION1,HRGOCVPH2,31.536
REGION1,HRHF00I00,1
REGION1,HRHFCCPH2,31.536
REGION1,HRHFCHPH3,31.536
REGION1,HRHFGCPH3,31.536
REGION1,HRHFGCPN3,31.536
REGION1,HRHFHPFH1,31.536
REGION1,HRHFHPPH2,31.536
REGION1,HRHFSTPH2,31.536
REGION1,HRHFSTPH3,31.536
REGION1,HRHYDMPH0,31.536
REGION1,HRHYDMPH1,31.536
REGION1,HRHYDMPH2,31.536
REGION1,HRHYDMPH3,31.536
REGION1,HRHYDSPH2,31.536
REGION1,HRHYDSPH3,31.536
REGION1,HRNG00I00,1
REGION1,HRNG00X00,1
REGION1,HRNGCCPH2,31.536
REGION1,HRNGCHPH3,31.536
REGION1,HRNGCHPN3,31.536
REGION1,HRNGCSPN2,31.536
REGION1,HRNGFCFH1,31.536
REGION1,HRNGGCPH2,31.536
REGION1,HRNGGCPN2,31.536
REGION1,HRNGHPFH1,31.536
REGION1,HRNGHPPH2,31.536
REGION1,HRNGSTPH2,31.536
REGION1,HROI00I00,1
REGION1,HROI00X00,1
REGION1,HROIRFPH0,1
REGION1,HRSODIFH1,31.536
REGION1,HRSOUTPH2,31.536
REGION1,HRWIONPH3,31.536
REGION1,HRWS00X00,1
REGION1,HRWSCHPH2,31.536
REGION1,HRWSSTPH1,31.536
REGION1,HUBF00I00,1
REGION1,HUBF00X00,1
REGION1,HUBFHPFH1,31.536
REGION1,HUBM00I00,1
REGION1,HUBM00X00,1
REGION1,HUBMCCPH1,31.536
REGION1,HUBMCHPH3,31.536
REGION1,HUBMCSPN2,31.536
REGION1,HUBMSTPH3,31.536
REGION1,HUCO00I00,1
REGION1,HUCO00X00,1
REGION1,HUCOCHPH3,31.536
REGION1,HUCOCSPN2,31.536
REGION1,HUCOSTPH1,31.536
REGION1,HUCOSTPH3,31.536
REGION1,HUEL00TD0,1
REGION1,HUELROPH1,31.536
REGION1,HUELSIPH1,1
REGION1,HUELSKPH1,31.536
REGION1,HUGO00X00,1
REGION1,HUGOCVPH2,31.536
REGION1,HUHF00I00,1
REGION1,HUHFCCPH2,31.536
REGION1,HUHFCHPH3,31.536
REGION1,HUHFGCPH3,31.536
REGION1,HUHFGCPN3,31.536
REGION1,HUHFHPFH1,31.536
REGION1,HUHFHPPH2,31.536
REGION1,HUHFSTPH2,31.536
REGION1,HUHFSTPH3,31.536
REGION1,HUHYDMPH0,31.536
REGION1,HUHYDMPH1,31.536
REGION1,HUHYDMPH2,31.536
REGION1,HUHYDMPH3,31.536
REGION1,HUHYDSPH2,31.536
REGION1,HUHYDSPH3,31.536
REGION1,HUNG00I00,1
REGION1,HUNG00X00,1
REGION1,HUNGCCPH2,31.536
REGION1,HUNGCHPH3,31.536
REGION1,HUNGCHPN3,31.536
REGION1,HUNGCSPN2,31.536
REGION1,HUNGFCFH1,31.536
REGION1,HUNGGCPH2,31.536
REGION1,HUNGGCPN2,31.536
REGION1,HUNGHPFH1,31.536
REGION1,HUNGHPPH2,31.536
REGION1,HUNGSTPH2,31.536
REGION1,HUNUG2PH3,31.536
REGION1,HUNUG3PN3,31.536
REGION1,HUOI00I00,1
REGION1,HUOI00X00,1
REGION1,HUOIRFPH0,1
REGION1,HUSODIFH1,31.536
REGION1,HUSOUTPH2,31.536
REGION1,HUUR00I00,1
REGION1,HUWIONPH3,31.536
REGION1,HUWS00X00,1
REGION1,HUWSCHPH2,31.536
REGION1,HUWSSTPH1,31.536
REGION1,IEBF00I00,1
REGION1,IEBF00X00,1
REGION1,IEBFHPFH1,31.536
REGION1,IEBM00I00,1
REGION1,IEBM00X00,1
REGION1,IEBMCCPH1,31.536
REGION1,IEBMCHPH3,31.536
REGION1,IEBMCSPN2,31.536
REGION1,IEBMSTPH3,31.536
REGION1,IECO00I00,1
REGION1,IECO00X00,1
REGION1,IECOCHPH3,31.536
REGION1,IECOCSPN2,31.536
REGION1,IECOSTPH1,31.536
REGION1,IECOSTPH3,31.536
REGION1,IEEL00TD0,1
REGION1,IEELUKPH1,31.536
REGION1,IEGO00X00,1
REGION1,IEGOCVPH2,31.536
REGION1,IEHF00I00,1
REGION1,IEHFCCPH2,31.536
REGION1,IEHFCHPH3,31.536
REGION1,IEHFGCPH3,31.536
REGION1,IEHFGCPN3,31.536
REGION1,IEHFHPFH1,31.536
REGION1,IEHFHPPH2,31.536
REGION1,IEHFSTPH2,31.536
REGION1,IEHFSTPH3,31.536
REGION1,IEHYDMPH0,31.536
REGION1,IEHYDMPH1,31.536
REGION1,IEHYDMPH2,31.536
REGION1,IEHYDMPH3,31.536
REGION1,IEHYDSPH2,31.536
REGION1,IEHYDSPH3,31.536
REGION1,IENG00I00,1
REGION1,IENG00X00,1
REGION1,IENGCCPH2,31.536
REGION1,IENGCHPH3,31.536
REGION1,IENGCHPN3,31.536
REGION1,IENGCSPN2,31.536
REGION1,IENGFCFH1,31.536
REGION1,IENGGCPH2,31.536
REGION1,IENGGCPN2,31.536
REGION1,IENGHPFH1,31.536
REGION1,IENGHPPH2,31.536
REGION1,IENGSTPH2,31.536
REGION1,IEOCWVPH1,31.536
REGION1,IEOI00I00,1
REGION1,IEOI00X00,1
REGION1,IEOIRFPH0,1
REGION1,IESODIFH1,31.536
REGION1,IESOUTPH2,31.536
REGION1,IEWIOFPH3,31.536
REGION1,IEWIOFPN2,31.536
REGION1,IEWIOFPN3,31.536
REGION1,IEWIONPH3,31.536
REGION1,IEWIONPN3,31.536
REGION1,IEWS00X00,1
REGION1,IEWSCHPH2,31.536
REGION1,IEWSSTPH1,31.536
REGION1,ITBF00I00,1
REGION1,ITBF00X00,1
REGION1,ITBFHPFH1,31.536
REGION1,ITBM00I00,1
REGION1,ITBM00X00,1
REGION1,ITBMCCPH1,31.536
REGION1,ITBMCHPH3,31.536
REGION1,ITBMCSPN2,31.536
REGION1,ITBMSTPH3,31.536
REGION1,ITCO00I00,1
REGION1,ITCO00X00,1
REGION1,ITCOCHPH3,31.536
REGION1,ITCOCSPN2,31.536
REGION1,ITCOSTPH1,31.536
REGION1,ITCOSTPH3,31.536
REGION1,ITEL00TD0,1
REGION1,ITELMTPH1,31.536
REGION1,ITELSIPH1,31.536
REGION1,ITGO00X00,1
REGION1,ITGOCVPH2,31.536
REGION1,ITHF00I00,1
REGION1,ITHFCCPH2,31.536
REGION1,ITHFCHPH3,31.536
REGION1,ITHFGCPH3,31.536
REGION1,ITHFGCPN3,31.536
REGION1,ITHFHPFH1,31.536
REGION1,ITHFHPPH2,31.536
REGION1,ITHFSTPH2,31.536
REGION1,ITHFSTPH3,31.536
REGION1,ITHYDMPH0,31.536
REGION1,ITHYDMPH1,31.536
REGION1,ITHYDMPH2,31.536
REGION1,ITHYDMPH3,31.536
REGION1,ITHYDSPH2,31.536
REGION1,ITHYDSPH3,31.536
REGION1,ITNG00I00,1
REGION1,ITNG00X00,1
REGION1,ITNGCCPH2,31.536
REGION1,ITNGCHPH3,31.536
REGION1,ITNGCHPN3,31.536
REGION1,ITNGCSPN2,31.536
REGION1,ITNGFCFH1,31.536
REGION1,ITNGGCPH2,31.536
REGION1,ITNGGCPN2,31.536
REGION1,ITNGHPFH1,31.536
REGION1,ITNGHPPH2,31.536
REGION1,ITNGSTPH2,31.536
REGION1,ITOCWVPH1,31.536
REGION1,ITOI00I00,1
REGION1,ITOI00X00,1
REGION1,ITOIRFPH0,1
REGION1,ITSODIFH1,31.536
REGION1,ITSOUTPH2,31.536
REGION1,ITWIOFPN2,31.536
REGION1,ITWIOFPN3,31.536
REGION1,ITWIONPH3,31.536
REGION1,ITWIONPN3,31.536
REGION1,ITWS00X00,1
REGION1,ITWSCHPH2,31.536
REGION1,ITWSSTPH1,31.536
REGION1,LTBF00I00,1
REGION1,LTBF00X00,1
REGION1,LTBFHPFH1,31.536
REGION1,LTBM00I00,1
REGION1,LTBM00X00,1
REGION1,LTBMCCPH1,31.536
REGION1,LTBMCHPH3,31.536
REGION1,LTBMCSPN2,31.536
REGION1,LTBMSTPH3,31.536
REGION1,LTCO00I00,1
REGION1,LTCO00X00,1
REGION1,LTCOCHPH3,31.536
REGION1,LTCOCSPN2,31.536
REGION1,LTCOSTPH1,31.536
REGION1,LTCOSTPH3,31.536
REGION1,LTEL00TD0,1
REGION1,LTELLVPH1,31.536
REGION1,LTELPLPH1,31.536
REGION1,LTELSEPH1,31.536
REGION1,LTGO00X00,1
REGION1,LTGOCVPH2,31.536
REGION1,LTHF00I00,1
REGION1,LTHFCCPH2,31.536
REGION1,LTHFCHPH3,31.536
REGION1,LTHFGCPH3,31.536
REGION1,LTHFGCPN3,31.536
REGION1,LTHFHPFH1,31.536
REGION1,LTHFHPPH2,31.536
REGION1,LTHFSTPH2,31.536
REGION1,LTHFSTPH3,31.536
REGION1,LTHYDMPH0,31.536
REGION1,LTHYDMPH1,31.536
REGION1,LTHYDMPH2,31.536
REGION1,LTHYDMPH3,31.536
REGION1,LTHYDSPH2,31.536
REGION1,LTHYDSPH3,31.536
REGION1,LTNG00I00,1
REGION1,LTNGCCPH2,31.536
REGION1,LTNGCHPH3,31.536
REGION1,LTNGCHPN3,31.536
REGION1,LTNGCSPN2,31.536
REGION1,LTNGFCFH1,31.536
REGION1,LTNGGCPH2,31.536
REGION1,LTNGGCPN2,31.536
REGION1,LTNGHPFH1,31.536
REGION1,LTNGHPPH2,31.536
REGION1,LTNGSTPH2,31.536
REGION1,LTOCWVPH1,31.536
REGION1,LTOI00I00,1
REGION1,LTOI00X00,1
REGION1,LTOIRFPH0,1
REGION1,LTSODIFH1,31.536
REGION1,LTSOUTPH2,31.536
REGION1,LTWIOFPH3,31.536
REGION1,LTWIONPH3,31.536
REGION1,LTWS00X00,1
REGION1,LTWSCHPH2,31.536
REGION1,LTWSSTPH1,31.536
REGION1,LUBF00I00,1
REGION1,LUBF00X00,1
REGION1,LUBFHPFH1,31.536
REGION1,LUBM00I00,1
REGION1,LUBM00X00,1
REGION1,LUBMCCPH1,31.536
REGION1,LUBMCHPH3,31.536
REGION1,LUBMCSPN2,31.536
REGION1,LUBMSTPH3,31.536
REGION1,LUCO00I00,1
REGION1,LUCOCHPH3,31.536
REGION1,LUCOCSPN2,31.536
REGION1,LUCOSTPH1,31.536
REGION1,LUCOSTPH3,31.536
REGION1,LUEL00TD0,1
REGION1,LUGO00X00,1
REGION1,LUGOCVPH2,31.536
REGION1,LUHF00I00,1
REGION1,LUHFCCPH2,31.536
REGION1,LUHFCHPH3,31.536
REGION1,LUHFGCPH3,31.536
REGION1,LUHFGCPN3,31.536
REGION1,LUHFHPFH1,31.536
REGION1,LUHFHPPH2,31.536
REGION1,LUHFSTPH2,31.536
REGION1,LUHFSTPH3,31.536
REGION1,LUHYDMPH0,31.536
REGION1,LUHYDMPH1,31.536
REGION1,LUHYDMPH2,31.536
REGION1,LUHYDMPH3,31.536
REGION1,LUHYDSPH2,31.536
REGION1,LUHYDSPH3,31.536
REGION1,LUNG00I00,1
REGION1,LUNGCCPH2,31.536
REGION1,LUNGCHPH3,31.536
REGION1,LUNGCHPN3,31.536
REGION1,LUNGCSPN2,31.536
REGION1,LUNGFCFH1,31.536
REGION1,LUNGGCPH2,31.536
REGION1,LUNGGCPN2,31.536
REGION1,LUNGHPFH1,31.536
REGION1,LUNGHPPH2,31.536
REGION1,LUNGSTPH2,31.536
REGION1,LUSODIFH1,31.536
REGION1,LUSOUTPH2,31.536
REGION1,LUWIONPH3,31.536
REGION1,LUWIONPN3,31.536
REGION1,LUWS00X00,1
REGION1,LUWSCHPH2,31.536
REGION1,LUWSSTPH1,31.536
REGION1,LVBF00I00,1
REGION1,LVBF00X00,1
REGION1,LVBFHPFH1,31.536
REGION1,LVBM00I00,1
REGION1,LVBM00X00,1
REGION1,LVBMCCPH1,31.536
REGION1,LVBMCHPH3,31.536
REGION1,LVBMCSPN2,31.536
REGION1,LVBMSTPH3,31.536
REGION1,LVCO00I00,1
REGION1,LVCO00X00,1
REGION1,LVCOCHPH3,31.536
REGION1,LVCOCSPN2,31.536
REGION1,LVCOSTPH1,31.536
REGION1,LVCOSTPH3,31.536
REGION1,LVEL00TD0,1
REGION1,LVGO00X00,1
REGION1,LVGOCVPH2,31.536
REGION1,LVHF00I00,1
REGION1,LVHFCCPH2,31.536
REGION1,LVHFCHPH3,31.536
REGION1,LVHFGCPH3,31.536
REGION1,LVHFGCPN3,31.536
REGION1,LVHFHPFH1,31.536
REGION1,LVHFHPPH2,31.536
REGION1,LVHFSTPH2,31.536
REGION1,LVHFSTPH3,31.536
REGION1,LVHYDMPH0,31.536
REGION1,LVHYDMPH1,31.536
REGION1,LVHYDMPH2,31.536
REGION1,LVHYDMPH3,31.536
REGION1,LVNG00I00,1
REGION1,LVNGCCPH2,31.536
REGION1,LVNGCHPH3,31.536
REGION1,LVNGCHPN3,31.536
REGION1,LVNGCSPN2,31.536
REGION1,LVNGFCFH1,31.536
REGION1,LVNGGCPH2,31.536
REGION1,LVNGGCPN2,31.536
REGION1,LVNGHPFH1,31.536
REGION1,LVNGHPPH2,31.536
REGION1,LVNGSTPH2,31.536
REGION1,LVOCWVPH1,31.536
REGION1,LVSODIFH1,31.536
REGION1,LVSOUTPH2,31.536
REGION1,LVWIONPH3,31.536
REGION1,LVWS00X00,1
REGION1,LVWSCHPH2,31.536
REGION1,LVWSSTPH2,31.536
REGION1,MTBF00I00,1
REGION1,MTBF00X00,1
REGION1,MTBFHPFH1,31.536
REGION1,MTBM00I00,1
REGION1,MTBM00X00,1
REGION1,MTBMCCPH1,31.536
REGION1,MTBMCHPH3,31.536
REGION1,MTBMCSPN2,31.536
REGION1,MTBMSTPH3,31.536
REGION1,MTEL00TD0,1
REGION1,MTHF00I00,1
REGION1,MTHFCCPH2,31.536
REGION1,MTHFCHPH3,31.536
REGION1,MTHFGCPH3,31.536
REGION1,MTHFGCPN3,31.536
REGION1,MTHFHPFH1,31.536
REGION1,MTHFHPPH2,31.536
REGION1,MTHFSTPH2,31.536
REGION1,MTHFSTPH3,31.536
REGION1,MTNG00I00,1
REGION1,MTNGCCPH2,31.536
REGION1,MTNGCHPH3,31.536
REGION1,MTNGCHPN3,31.536
REGION1,MTNGCSPN2,31.536
REGION1,MTNGFCFH1,31.536
REGION1,MTNGGCPH2,31.536
REGION1,MTNGGCPN2,31.536
REGION1,MTNGHPFH1,31.536
REGION1,MTNGHPPH2,31.536
REGION1,MTNGSTPH2,31.536
REGION1,MTOCWVPH1,31.536
REGION1,MTSODIFH1,31.536
REGION1,MTSOUTPH2,31.536
REGION1,MTWIONPH3,31.536
REGION1,MTWS00X00,1
REGION1,MTWSCHPH2,31.536
REGION1,MTWSSTPH1,31.536
REGION1,NLBF00I00,1
REGION1,NLBF00X00,1
REGION1,NLBFHPFH1,31.536
REGION1,NLBM00I00,1
REGION1,NLBM00X00,1
REGION1,NLBMCCPH1,31.536
REGION1,NLBMCHPH3,31.536
REGION1,NLBMCSPN2,31.536
REGION1,NLBMSTPH3,31.536
REGION1,NLCO00I00,1
REGION1,NLCOCHPH3,31.536
REGION1,NLCOCSPN2,31.536
REGION1,NLCOSTPH1,31.536
REGION1,NLCOSTPH3,31.536
REGION1,NLEL00TD0,1
REGION1,NLELNOPH1,31.536
REGION1,NLELUKPH1,31.536
REGION1,NLGO00X00,1
REGION1,NLGOCVPH2,31.536
REGION1,NLHF00I00,1
REGION1,NLHFCCPH2,31.536
REGION1,NLHFCHPH3,31.536
REGION1,NLHFGCPH3,31.536
REGION1,NLHFGCPN3,31.536
REGION1,NLHFHPFH1,31.536
REGION1,NLHFHPPH2,31.536
REGION1,NLHFSTPH2,31.536
REGION1,NLHFSTPH3,31.536
REGION1,NLHYDMPH0,31.536
REGION1,NLHYDMPH1,31.536
REGION1,NLHYDMPH2,31.536
REGION1,NLHYDMPH3,31.536
REGION1,NLHYDSPH2,31.536
REGION1,NLHYDSPH3,31.536
REGION1,NLNG00I00,1
REGION1,NLNG00X00,1
REGION1,NLNGCCPH2,31.536
REGION1,NLNGCHPH3,31.536
REGION1,NLNGCHPN3,31.536
REGION1,NLNGCSPN2,31.536
REGION1,NLNGFCFH1,31.536
REGION1,NLNGGCPH2,31.536
REGION1,NLNGGCPN2,31.536
REGION1,NLNGHPFH1,31.536
REGION1,NLNGHPPH2,31.536
REGION1,NLNGSTPH2,31.536
REGION1,NLNUG2PH3,31.536
REGION1,NLNUG3PH3,31.536
REGION1,NLOCWVPH1,31.536
REGION1,NLOI00I00,1
REGION1,NLOI00X00,1
REGION1,NLOIRFPH0,1
REGION1,NLSODIFH1,31.536
REGION1,NLSOUTPH2,31.536
REGION1,NLUR00I00,1
REGION1,NLWIOFPH3,31.536
REGION1,NLWIOFPN2,31.536
REGION1,NLWIOFPN3,31.536
REGION1,NLWIONPH3,31.536
REGION1,NLWIONPN3,31.536
REGION1,NLWS00X00,1
REGION1,NLWSCHPH2,31.536
REGION1,NLWSSTPH1,31.536
REGION1,NOBF00I00,1
REGION1,NOBF00X00,1
REGION1,NOBFHPFH1,31.536
REGION1,NOBM00I00,1
REGION1,NOBM00X00,1
REGION1,NOBMCCPH1,31.536
REGION1,NOBMCHPH3,31.536
REGION1,NOBMCSPN2,31.536
REGION1,NOBMSTPH3,31.536
REGION1,NOCO00I00,1
REGION1,NOCOCHPH3,31.536
REGION1,NOCOCSPN2,31.536
REGION1,NOCOSTPH1,31.536
REGION1,NOCOSTPH3,31.536
REGION1,NOEL00TD0,1
REGION1,NOELSEPH1,31.536
REGION1,NOELUKPH1,31.536
REGION1,NOHF00I00,1
REGION1,NOHFCCPH2,31.536
REGION1,NOHFCHPH3,31.536
REGION1,NOHFGCPH3,31.536
REGION1,NOHFGCPN3,31.536
REGION1,NOHFHPFH1,31.536
REGION1,NOHFHPPH2,31.536
REGION1,NOHFSTPH2,31.536
REGION1,NOHFSTPH3,31.536
REGION1,NOHYDMPH0,31.536
REGION1,NOHYDMPH1,31.536
REGION1,NOHYDMPH2,31.536
REGION1,NOHYDMPH3,31.536
REGION1,NOHYDSPH2,31.536
REGION1,NOHYDSPH3,31.536
REGION1,NONG00I00,1
REGION1,NONG00X00,1
REGION1,NONGCCPH2,31.536
REGION1,NONGCHPH3,31.536
REGION1,NONGCHPN3,31.536
REGION1,NONGCSPN2,31.536
REGION1,NONGFCFH1,31.536
REGION1,NONGGCPH2,31.536
REGION1,NONGGCPN2,31.536
REGION1,NONGHPFH1,31.536
REGION1,NONGHPPH2,31.536
REGION1,NONGSTPH2,31.536
REGION1,NONUG3PN3,31.536
REGION1,NOOCWVPH1,31.536
REGION1,NOOI00I00,1
REGION1,NOOI00X00,1
REGION1,NOOIRFPH0,1
REGION1,NOSODIFH1,31.536
REGION1,NOSOUTPH2,31.536
REGION1,NOUR00I00,1
REGION1,NOWIOFPH3,31.536
REGION1,NOWIOFPN2,31.536
REGION1,NOWIOFPN3,31.536
REGION1,NOWIONPH3,31.536
REGION1,NOWIONPN3,31.536
REGION1,NOWS00X00,1
