REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BENG00I00,2015,141.0
REGION1,BENG00I00,2016,141.0
REGION1,BENG00I00,2017,141.0
REGION1,BENG00I00,2018,141.0
REGION1,BENG00I00,2019,141.0
REGION1,BENG00I00,2020,141.0
REGION1,BENG00I00,2021,0.0
REGION1,BENG00I00,2022,0.0
REGION1,BENG00I00,2023,0.0
REGION1,BENG00I00,2024,0.0
REGION1,BENG00I00,2025,0.0
REGION1,BENG00I00,2026,0.0
REGION1,BENG00I00,2027,0.0
REGION1,BENG00I00,2028,0.0
REGION1,BENG00I00,2029,0.0
REGION1,BENG00I00,2030,0.0
REGION1,BENG00I00,2031,0.0
REGION1,BENG00I00,2032,0.0
REGION1,BENG00I00,2033,0.0
REGION1,BENG00I00,2034,0.0
REGION1,BENG00I00,2035,0.0
REGION1,BENG00I00,2036,0.0
REGION1,BENG00I00,2037,0.0
REGION1,BENG00I00,2038,0.0
REGION1,BENG00I00,2039,0.0
REGION1,BENG00I00,2040,0.0
REGION1,BENG00I00,2041,0.0
REGION1,BENG00I00,2042,0.0
REGION1,BENG00I00,2043,0.0
REGION1,BENG00I00,2044,0.0
REGION1,BENG00I00,2045,0.0
REGION1,BENG00I00,2046,0.0
REGION1,BENG00I00,2047,0.0
REGION1,BENG00I00,2048,0.0
REGION1,BENG00I00,2049,0.0
REGION1,BENG00I00,2050,0.0
REGION1,BENG00I00,2051,0.0
REGION1,BENG00I00,2052,0.0
REGION1,BENG00I00,2053,0.0
REGION1,BENG00I00,2054,0.0
REGION1,BENG00I00,2055,0.0
REGION1,BENG00I00,2056,0.0
REGION1,BENG00I00,2057,0.0
REGION1,BENG00I00,2058,0.0
REGION1,BENG00I00,2059,0.0
REGION1,BENG00I00,2060,0.0
REGION1,DENG00X00,2015,391.0
REGION1,DENG00X00,2016,391.0
REGION1,DENG00X00,2017,391.0
REGION1,DENG00X00,2018,391.0
REGION1,DENG00X00,2019,391.0
REGION1,DENG00X00,2020,391.0
REGION1,DENG00X00,2021,0.0
REGION1,DENG00X00,2022,0.0
REGION1,DENG00X00,2023,0.0
REGION1,DENG00X00,2024,0.0
REGION1,DENG00X00,2025,0.0
REGION1,DENG00X00,2026,0.0
REGION1,DENG00X00,2027,0.0
REGION1,DENG00X00,2028,0.0
REGION1,DENG00X00,2029,0.0
REGION1,DENG00X00,2030,0.0
REGION1,DENG00X00,2031,0.0
REGION1,DENG00X00,2032,0.0
REGION1,DENG00X00,2033,0.0
REGION1,DENG00X00,2034,0.0
REGION1,DENG00X00,2035,0.0
REGION1,DENG00X00,2036,0.0
REGION1,DENG00X00,2037,0.0
REGION1,DENG00X00,2038,0.0
REGION1,DENG00X00,2039,0.0
REGION1,DENG00X00,2040,0.0
REGION1,DENG00X00,2041,0.0
REGION1,DENG00X00,2042,0.0
REGION1,DENG00X00,2043,0.0
REGION1,DENG00X00,2044,0.0
REGION1,DENG00X00,2045,0.0
REGION1,DENG00X00,2046,0.0
REGION1,DENG00X00,2047,0.0
REGION1,DENG00X00,2048,0.0
REGION1,DENG00X00,2049,0.0
REGION1,DENG00X00,2050,0.0
REGION1,DENG00X00,2051,0.0
REGION1,DENG00X00,2052,0.0
REGION1,DENG00X00,2053,0.0
REGION1,DENG00X00,2054,0.0
REGION1,DENG00X00,2055,0.0
REGION1,DENG00X00,2056,0.0
REGION1,DENG00X00,2057,0.0
REGION1,DENG00X00,2058,0.0
REGION1,DENG00X00,2059,0.0
REGION1,DENG00X00,2060,0.0
REGION1,DKNG00X00,2015,11.0
REGION1,DKNG00X00,2016,11.0
REGION1,DKNG00X00,2017,11.0
REGION1,DKNG00X00,2018,11.0
REGION1,DKNG00X00,2019,11.0
REGION1,DKNG00X00,2020,11.0
REGION1,DKNG00X00,2021,0.0
REGION1,DKNG00X00,2022,0.0
REGION1,DKNG00X00,2023,0.0
REGION1,DKNG00X00,2024,0.0
REGION1,DKNG00X00,2025,0.0
REGION1,DKNG00X00,2026,0.0
REGION1,DKNG00X00,2027,0.0
REGION1,DKNG00X00,2028,0.0
REGION1,DKNG00X00,2029,0.0
REGION1,DKNG00X00,2030,0.0
REGION1,DKNG00X00,2031,0.0
REGION1,DKNG00X00,2032,0.0
REGION1,DKNG00X00,2033,0.0
REGION1,DKNG00X00,2034,0.0
REGION1,DKNG00X00,2035,0.0
REGION1,DKNG00X00,2036,0.0
REGION1,DKNG00X00,2037,0.0
REGION1,DKNG00X00,2038,0.0
REGION1,DKNG00X00,2039,0.0
REGION1,DKNG00X00,2040,0.0
REGION1,DKNG00X00,2041,0.0
REGION1,DKNG00X00,2042,0.0
REGION1,DKNG00X00,2043,0.0
REGION1,DKNG00X00,2044,0.0
REGION1,DKNG00X00,2045,0.0
REGION1,DKNG00X00,2046,0.0
REGION1,DKNG00X00,2047,0.0
REGION1,DKNG00X00,2048,0.0
REGION1,DKNG00X00,2049,0.0
REGION1,DKNG00X00,2050,0.0
REGION1,DKNG00X00,2051,0.0
REGION1,DKNG00X00,2052,0.0
REGION1,DKNG00X00,2053,0.0
REGION1,DKNG00X00,2054,0.0
REGION1,DKNG00X00,2055,0.0
REGION1,DKNG00X00,2056,0.0
REGION1,DKNG00X00,2057,0.0
REGION1,DKNG00X00,2058,0.0
REGION1,DKNG00X00,2059,0.0
REGION1,DKNG00X00,2060,0.0
REGION1,ESNG00I00,2015,331.0
REGION1,ESNG00I00,2016,331.0
REGION1,ESNG00I00,2017,331.0
REGION1,ESNG00I00,2018,331.0
REGION1,ESNG00I00,2019,331.0
REGION1,ESNG00I00,2020,331.0
REGION1,ESNG00I00,2021,0.0
REGION1,ESNG00I00,2022,0.0
REGION1,ESNG00I00,2023,0.0
REGION1,ESNG00I00,2024,0.0
REGION1,ESNG00I00,2025,0.0
REGION1,ESNG00I00,2026,0.0
REGION1,ESNG00I00,2027,0.0
REGION1,ESNG00I00,2028,0.0
REGION1,ESNG00I00,2029,0.0
REGION1,ESNG00I00,2030,0.0
REGION1,ESNG00I00,2031,0.0
REGION1,ESNG00I00,2032,0.0
REGION1,ESNG00I00,2033,0.0
REGION1,ESNG00I00,2034,0.0
REGION1,ESNG00I00,2035,0.0
REGION1,ESNG00I00,2036,0.0
REGION1,ESNG00I00,2037,0.0
REGION1,ESNG00I00,2038,0.0
REGION1,ESNG00I00,2039,0.0
REGION1,ESNG00I00,2040,0.0
REGION1,ESNG00I00,2041,0.0
REGION1,ESNG00I00,2042,0.0
REGION1,ESNG00I00,2043,0.0
REGION1,ESNG00I00,2044,0.0
REGION1,ESNG00I00,2045,0.0
REGION1,ESNG00I00,2046,0.0
REGION1,ESNG00I00,2047,0.0
REGION1,ESNG00I00,2048,0.0
REGION1,ESNG00I00,2049,0.0
REGION1,ESNG00I00,2050,0.0
REGION1,ESNG00I00,2051,0.0
REGION1,ESNG00I00,2052,0.0
REGION1,ESNG00I00,2053,0.0
REGION1,ESNG00I00,2054,0.0
REGION1,ESNG00I00,2055,0.0
REGION1,ESNG00I00,2056,0.0
REGION1,ESNG00I00,2057,0.0
REGION1,ESNG00I00,2058,0.0
REGION1,ESNG00I00,2059,0.0
REGION1,ESNG00I00,2060,0.0
REGION1,ESNG00X00,2015,1.0
REGION1,ESNG00X00,2016,1.0
REGION1,ESNG00X00,2017,1.0
REGION1,ESNG00X00,2018,1.0
REGION1,ESNG00X00,2019,1.0
REGION1,ESNG00X00,2020,1.0
REGION1,ESNG00X00,2021,0.0
REGION1,ESNG00X00,2022,0.0
REGION1,ESNG00X00,2023,0.0
REGION1,ESNG00X00,2024,0.0
REGION1,ESNG00X00,2025,0.0
REGION1,ESNG00X00,2026,0.0
REGION1,ESNG00X00,2027,0.0
REGION1,ESNG00X00,2028,0.0
REGION1,ESNG00X00,2029,0.0
REGION1,ESNG00X00,2030,0.0
REGION1,ESNG00X00,2031,0.0
REGION1,ESNG00X00,2032,0.0
REGION1,ESNG00X00,2033,0.0
REGION1,ESNG00X00,2034,0.0
REGION1,ESNG00X00,2035,0.0
REGION1,ESNG00X00,2036,0.0
REGION1,ESNG00X00,2037,0.0
REGION1,ESNG00X00,2038,0.0
REGION1,ESNG00X00,2039,0.0
REGION1,ESNG00X00,2040,0.0
REGION1,ESNG00X00,2041,0.0
REGION1,ESNG00X00,2042,0.0
REGION1,ESNG00X00,2043,0.0
REGION1,ESNG00X00,2044,0.0
REGION1,ESNG00X00,2045,0.0
REGION1,ESNG00X00,2046,0.0
REGION1,ESNG00X00,2047,0.0
REGION1,ESNG00X00,2048,0.0
REGION1,ESNG00X00,2049,0.0
REGION1,ESNG00X00,2050,0.0
REGION1,ESNG00X00,2051,0.0
REGION1,ESNG00X00,2052,0.0
REGION1,ESNG00X00,2053,0.0
REGION1,ESNG00X00,2054,0.0
REGION1,ESNG00X00,2055,0.0
REGION1,ESNG00X00,2056,0.0
REGION1,ESNG00X00,2057,0.0
REGION1,ESNG00X00,2058,0.0
REGION1,ESNG00X00,2059,0.0
REGION1,ESNG00X00,2060,0.0
REGION1,FING00I00,2015,31.0
REGION1,FING00I00,2016,31.0
REGION1,FING00I00,2017,31.0
REGION1,FING00I00,2018,31.0
REGION1,FING00I00,2019,31.0
REGION1,FING00I00,2020,31.0
REGION1,FING00I00,2021,0.0
REGION1,FING00I00,2022,0.0
REGION1,FING00I00,2023,0.0
REGION1,FING00I00,2024,0.0
REGION1,FING00I00,2025,0.0
REGION1,FING00I00,2026,0.0
REGION1,FING00I00,2027,0.0
REGION1,FING00I00,2028,0.0
REGION1,FING00I00,2029,0.0
REGION1,FING00I00,2030,0.0
REGION1,FING00I00,2031,0.0
REGION1,FING00I00,2032,0.0
REGION1,FING00I00,2033,0.0
REGION1,FING00I00,2034,0.0
REGION1,FING00I00,2035,0.0
REGION1,FING00I00,2036,0.0
REGION1,FING00I00,2037,0.0
REGION1,FING00I00,2038,0.0
REGION1,FING00I00,2039,0.0
REGION1,FING00I00,2040,0.0
REGION1,FING00I00,2041,0.0
REGION1,FING00I00,2042,0.0
REGION1,FING00I00,2043,0.0
REGION1,FING00I00,2044,0.0
REGION1,FING00I00,2045,0.0
REGION1,FING00I00,2046,0.0
REGION1,FING00I00,2047,0.0
REGION1,FING00I00,2048,0.0
REGION1,FING00I00,2049,0.0
REGION1,FING00I00,2050,0.0
REGION1,FING00I00,2051,0.0
REGION1,FING00I00,2052,0.0
REGION1,FING00I00,2053,0.0
REGION1,FING00I00,2054,0.0
REGION1,FING00I00,2055,0.0
REGION1,FING00I00,2056,0.0
REGION1,FING00I00,2057,0.0
REGION1,FING00I00,2058,0.0
REGION1,FING00I00,2059,0.0
REGION1,FING00I00,2060,0.0
REGION1,FRNG00I00,2015,112.0
REGION1,FRNG00I00,2016,112.0
REGION1,FRNG00I00,2017,112.0
REGION1,FRNG00I00,2018,112.0
REGION1,FRNG00I00,2019,112.0
REGION1,FRNG00I00,2020,112.0
REGION1,FRNG00I00,2021,0.0
REGION1,FRNG00I00,2022,0.0
REGION1,FRNG00I00,2023,0.0
REGION1,FRNG00I00,2024,0.0
REGION1,FRNG00I00,2025,0.0
REGION1,FRNG00I00,2026,0.0
REGION1,FRNG00I00,2027,0.0
REGION1,FRNG00I00,2028,0.0
REGION1,FRNG00I00,2029,0.0
REGION1,FRNG00I00,2030,0.0
REGION1,FRNG00I00,2031,0.0
REGION1,FRNG00I00,2032,0.0
REGION1,FRNG00I00,2033,0.0
REGION1,FRNG00I00,2034,0.0
REGION1,FRNG00I00,2035,0.0
REGION1,FRNG00I00,2036,0.0
REGION1,FRNG00I00,2037,0.0
REGION1,FRNG00I00,2038,0.0
REGION1,FRNG00I00,2039,0.0
REGION1,FRNG00I00,2040,0.0
REGION1,FRNG00I00,2041,0.0
REGION1,FRNG00I00,2042,0.0
REGION1,FRNG00I00,2043,0.0
REGION1,FRNG00I00,2044,0.0
REGION1,FRNG00I00,2045,0.0
REGION1,FRNG00I00,2046,0.0
REGION1,FRNG00I00,2047,0.0
REGION1,FRNG00I00,2048,0.0
REGION1,FRNG00I00,2049,0.0
REGION1,FRNG00I00,2050,0.0
REGION1,FRNG00I00,2051,0.0
REGION1,FRNG00I00,2052,0.0
REGION1,FRNG00I00,2053,0.0
REGION1,FRNG00I00,2054,0.0
REGION1,FRNG00I00,2055,0.0
REGION1,FRNG00I00,2056,0.0
REGION1,FRNG00I00,2057,0.0
REGION1,FRNG00I00,2058,0.0
REGION1,FRNG00I00,2059,0.0
REGION1,FRNG00I00,2060,0.0
REGION1,FRNG00X00,2015,12.0
REGION1,FRNG00X00,2016,12.0
REGION1,FRNG00X00,2017,12.0
REGION1,FRNG00X00,2018,12.0
REGION1,FRNG00X00,2019,12.0
REGION1,FRNG00X00,2020,12.0
REGION1,FRNG00X00,2021,0.0
REGION1,FRNG00X00,2022,0.0
REGION1,FRNG00X00,2023,0.0
REGION1,FRNG00X00,2024,0.0
REGION1,FRNG00X00,2025,0.0
REGION1,FRNG00X00,2026,0.0
REGION1,FRNG00X00,2027,0.0
REGION1,FRNG00X00,2028,0.0
REGION1,FRNG00X00,2029,0.0
REGION1,FRNG00X00,2030,0.0
REGION1,FRNG00X00,2031,0.0
REGION1,FRNG00X00,2032,0.0
REGION1,FRNG00X00,2033,0.0
REGION1,FRNG00X00,2034,0.0
REGION1,FRNG00X00,2035,0.0
REGION1,FRNG00X00,2036,0.0
REGION1,FRNG00X00,2037,0.0
REGION1,FRNG00X00,2038,0.0
REGION1,FRNG00X00,2039,0.0
REGION1,FRNG00X00,2040,0.0
REGION1,FRNG00X00,2041,0.0
REGION1,FRNG00X00,2042,0.0
REGION1,FRNG00X00,2043,0.0
REGION1,FRNG00X00,2044,0.0
REGION1,FRNG00X00,2045,0.0
REGION1,FRNG00X00,2046,0.0
REGION1,FRNG00X00,2047,0.0
REGION1,FRNG00X00,2048,0.0
REGION1,FRNG00X00,2049,0.0
REGION1,FRNG00X00,2050,0.0
REGION1,FRNG00X00,2051,0.0
REGION1,FRNG00X00,2052,0.0
REGION1,FRNG00X00,2053,0.0
REGION1,FRNG00X00,2054,0.0
REGION1,FRNG00X00,2055,0.0
REGION1,FRNG00X00,2056,0.0
REGION1,FRNG00X00,2057,0.0
REGION1,FRNG00X00,2058,0.0
REGION1,FRNG00X00,2059,0.0
REGION1,FRNG00X00,2060,0.0
REGION1,GRNG00I00,2015,58.0
REGION1,GRNG00I00,2016,58.0
REGION1,GRNG00I00,2017,58.0
REGION1,GRNG00I00,2018,58.0
REGION1,GRNG00I00,2019,58.0
REGION1,GRNG00I00,2020,58.0
REGION1,GRNG00I00,2021,0.0
REGION1,GRNG00I00,2022,0.0
REGION1,GRNG00I00,2023,0.0
REGION1,GRNG00I00,2024,0.0
REGION1,GRNG00I00,2025,0.0
REGION1,GRNG00I00,2026,0.0
REGION1,GRNG00I00,2027,0.0
REGION1,GRNG00I00,2028,0.0
REGION1,GRNG00I00,2029,0.0
REGION1,GRNG00I00,2030,0.0
REGION1,GRNG00I00,2031,0.0
REGION1,GRNG00I00,2032,0.0
REGION1,GRNG00I00,2033,0.0
REGION1,GRNG00I00,2034,0.0
REGION1,GRNG00I00,2035,0.0
REGION1,GRNG00I00,2036,0.0
REGION1,GRNG00I00,2037,0.0
REGION1,GRNG00I00,2038,0.0
REGION1,GRNG00I00,2039,0.0
REGION1,GRNG00I00,2040,0.0
REGION1,GRNG00I00,2041,0.0
REGION1,GRNG00I00,2042,0.0
REGION1,GRNG00I00,2043,0.0
REGION1,GRNG00I00,2044,0.0
REGION1,GRNG00I00,2045,0.0
REGION1,GRNG00I00,2046,0.0
REGION1,GRNG00I00,2047,0.0
REGION1,GRNG00I00,2048,0.0
REGION1,GRNG00I00,2049,0.0
REGION1,GRNG00I00,2050,0.0
REGION1,GRNG00I00,2051,0.0
REGION1,GRNG00I00,2052,0.0
REGION1,GRNG00I00,2053,0.0
REGION1,GRNG00I00,2054,0.0
REGION1,GRNG00I00,2055,0.0
REGION1,GRNG00I00,2056,0.0
REGION1,GRNG00I00,2057,0.0
REGION1,GRNG00I00,2058,0.0
REGION1,GRNG00I00,2059,0.0
REGION1,GRNG00I00,2060,0.0
REGION1,HRNG00X00,2015,6.0
REGION1,HRNG00X00,2016,6.0
REGION1,HRNG00X00,2017,6.0
REGION1,HRNG00X00,2018,6.0
REGION1,HRNG00X00,2019,6.0
REGION1,HRNG00X00,2020,6.0
REGION1,HRNG00X00,2021,0.0
REGION1,HRNG00X00,2022,0.0
REGION1,HRNG00X00,2023,0.0
REGION1,HRNG00X00,2024,0.0
REGION1,HRNG00X00,2025,0.0
REGION1,HRNG00X00,2026,0.0
REGION1,HRNG00X00,2027,0.0
REGION1,HRNG00X00,2028,0.0
REGION1,HRNG00X00,2029,0.0
REGION1,HRNG00X00,2030,0.0
REGION1,HRNG00X00,2031,0.0
REGION1,HRNG00X00,2032,0.0
REGION1,HRNG00X00,2033,0.0
REGION1,HRNG00X00,2034,0.0
REGION1,HRNG00X00,2035,0.0
REGION1,HRNG00X00,2036,0.0
REGION1,HRNG00X00,2037,0.0
REGION1,HRNG00X00,2038,0.0
REGION1,HRNG00X00,2039,0.0
REGION1,HRNG00X00,2040,0.0
REGION1,HRNG00X00,2041,0.0
REGION1,HRNG00X00,2042,0.0
REGION1,HRNG00X00,2043,0.0
REGION1,HRNG00X00,2044,0.0
REGION1,HRNG00X00,2045,0.0
REGION1,HRNG00X00,2046,0.0
REGION1,HRNG00X00,2047,0.0
REGION1,HRNG00X00,2048,0.0
REGION1,HRNG00X00,2049,0.0
REGION1,HRNG00X00,2050,0.0
REGION1,HRNG00X00,2051,0.0
REGION1,HRNG00X00,2052,0.0
REGION1,HRNG00X00,2053,0.0
REGION1,HRNG00X00,2054,0.0
REGION1,HRNG00X00,2055,0.0
REGION1,HRNG00X00,2056,0.0
REGION1,HRNG00X00,2057,0.0
REGION1,HRNG00X00,2058,0.0
REGION1,HRNG00X00,2059,0.0
REGION1,HRNG00X00,2060,0.0
REGION1,HUNG00X00,2015,31.0
REGION1,HUNG00X00,2016,31.0
REGION1,HUNG00X00,2017,31.0
REGION1,HUNG00X00,2018,31.0
REGION1,HUNG00X00,2019,31.0
REGION1,HUNG00X00,2020,31.0
REGION1,HUNG00X00,2021,0.0
REGION1,HUNG00X00,2022,0.0
REGION1,HUNG00X00,2023,0.0
REGION1,HUNG00X00,2024,0.0
REGION1,HUNG00X00,2025,0.0
REGION1,HUNG00X00,2026,0.0
REGION1,HUNG00X00,2027,0.0
REGION1,HUNG00X00,2028,0.0
REGION1,HUNG00X00,2029,0.0
REGION1,HUNG00X00,2030,0.0
REGION1,HUNG00X00,2031,0.0
REGION1,HUNG00X00,2032,0.0
REGION1,HUNG00X00,2033,0.0
REGION1,HUNG00X00,2034,0.0
REGION1,HUNG00X00,2035,0.0
REGION1,HUNG00X00,2036,0.0
REGION1,HUNG00X00,2037,0.0
REGION1,HUNG00X00,2038,0.0
REGION1,HUNG00X00,2039,0.0
REGION1,HUNG00X00,2040,0.0
REGION1,HUNG00X00,2041,0.0
REGION1,HUNG00X00,2042,0.0
REGION1,HUNG00X00,2043,0.0
REGION1,HUNG00X00,2044,0.0
REGION1,HUNG00X00,2045,0.0
REGION1,HUNG00X00,2046,0.0
REGION1,HUNG00X00,2047,0.0
REGION1,HUNG00X00,2048,0.0
REGION1,HUNG00X00,2049,0.0
REGION1,HUNG00X00,2050,0.0
REGION1,HUNG00X00,2051,0.0
REGION1,HUNG00X00,2052,0.0
REGION1,HUNG00X00,2053,0.0
REGION1,HUNG00X00,2054,0.0
REGION1,HUNG00X00,2055,0.0
REGION1,HUNG00X00,2056,0.0
REGION1,HUNG00X00,2057,0.0
REGION1,HUNG00X00,2058,0.0
REGION1,HUNG00X00,2059,0.0
